event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp,population_best
EGY10981,2020-07-17,2020,1,Demonstrations,Riots,"Violent demonstration","Rioters (Egypt)",,Rioters,"Police Forces of Egypt (2014-)",,"State forces","State forces-Rioters",,818,"Northern Africa",Egypt,Alexandria,"Mena Al Basal",,"Al Qabbari",31.1731,29.8798,1,"FJ Portal; New Arab; Rassd",National-Regional,"On 17 July 2020, Egyptian police forces fired tear gas canisters and arrested an unknown number of demonstrators who gathered in Al Qubari (Bab Sharqi, Alexandria) to demonstrate against the government's decision to force them to leave their homes and move to designated rental units. There were reports of clashes between demonstrators and police forces that left an unknown number of demonstrators injured.",0,"crowd size=dozens",1764637279,251776
EGY11128,2020-09-22,2020,1,Demonstrations,Protests,"Protest with intervention","Protesters (Egypt)",,Protesters,"Police Forces of Egypt (2014-)",,"State forces","State forces-Protesters",,818,"Northern Africa",Egypt,Cairo,"Al Mataria City",,"Cairo - Al Matareya",30.1235,31.3115,1,"New Arab",Regional,"On 22 September 2020, police intervened in protests in Al Matareya (Cairo), where protesters called for the end of President Sisi's time in office during the week of the anniversary of widespread protests a year prior.",0,"crowd size=no report",1764637279,226160
EGY11150,2020-09-25,2020,2,Demonstrations,Protests,"Peaceful protest","Protesters (Egypt)","Lawyers (Egypt)",Protesters,,,,"Protesters only",,818,"Northern Africa",Egypt,Cairo,"Al Waily",,Cairo,30.0771,31.2859,1,Rassd,National,"Around 25 September 2020, dozens of lawyers protested against a raise in taxes for lawyers in Cairo (Cairo, Cairo).",0,"crowd size=dozens",1714445489,79068
EGY11151,2020-09-25,2020,1,Demonstrations,Protests,"Protest with intervention","Protesters (Egypt)",,Protesters,"Police Forces of Egypt (2014-)",,"State forces","State forces-Protesters",,818,"Northern Africa",Egypt,Cairo,"Al Waily",,Cairo,30.0771,31.2859,1,"Egypt Today",National,"On 25 September 2020, Egyptian police forces arrested protesters who blocked a main road in Cairo (Cairo, Cairo) as they called for an end to President Sisi's time in office.",0,"crowd size=no report",1753970510,79068
EGY11159,2020-09-26,2020,1,Demonstrations,Protests,"Protest with intervention","Protesters (Egypt)",,Protesters,"Police Forces of Egypt (2014-)",,"State forces","State forces-Protesters",,818,"Northern Africa",Egypt,Cairo,"Al Dahier",,"Cairo - Al Nozha",30.0680,31.2687,1,"New Arab",Regional,"On 26 September 2020, hundreds of protesters gathered in Saqr Quraysh neighborhood in Al Nozha (Cairo), protesting the demolition of buildings to make room for a new road and bridge in their area. Reports say that police 'chased' protesters, but gave no further details on police-protester interactions.",0,"crowd size=hundreds",1764637279,141039
EGY10060,2019-10-04,2019,1,Demonstrations,Protests,"Peaceful protest","Protesters (Egypt)","Lawyers (Egypt)",Protesters,,,,"Protesters only",,818,"Northern Africa",Egypt,Gharbia,"Greater Mahala 1",,"Al Mahallah al Kubra",30.9761,31.1669,2,"Al Shorouk; BBC News",National-International,"On 4 October 2019, in Al Mahallah al Kubra, an unspecified number of lawyers protested in front of a police station demanding justice for a lawyer who was assaulted by a police officer during a disagreement over parking.",0,"crowd size=no report",1728954620,147233
EGY10658,2019-12-22,2019,2,Demonstrations,Protests,"Peaceful protest","Protesters (Egypt)",,Protesters,,,,"Protesters only",,818,"Northern Africa",Egypt,Beheira,"Damanhour City",,Damanhur,31.0392,30.4691,1,"FJ Portal",National,"On or before 22 December 2019, protesters gathered at night in Damanhur (Damanhur, Behera) to protest against the treatment of Uighur Muslims in China as well as of conditions in Egypt, such as treatment of detainees, poor economic conditions, and enforced disappearances.",0,"crowd size=no report",1728954622,122636
EGY10659,2019-12-29,2019,2,Demonstrations,Protests,"Peaceful protest","Protesters (Egypt)",,Protesters,,,,"Protesters only",,818,"Northern Africa",Egypt,Beheira,"Damanhour City",,Damanhur,31.0392,30.4691,1,"FJ Portal",National,"On or before 29 December 2019, protesters gathered at night in Damanhur (Damanhur, Behera) to protest against actions by the Egyptian Military Forces. They criticized the enforced disappearance in torture of youth, and called for immediate release of detainees and justice for those who had died.",0,"crowd size=no report",1728954622,122636
EGY11166,2020-09-30,2020,1,Demonstrations,Riots,"Violent demonstration","Rioters (Egypt)",,Rioters,"Police Forces of Egypt (2014-)",,"State forces","State forces-Rioters",,818,"Northern Africa",Egypt,Luxor,"Luxor City",,Luxor,25.6965,32.6459,1,"Amnesty International; GardaWorld; Madamasr; New Arab",Other-National,"On 30 September 2020, Egyptian police forces attacked demonstrators, fired birdshot and tear gas, and arrested an unknown number of demonstrators in Luxor (Luxor, Luxor) to break up demonstrators who gathered for a public funeral for a civilian who was shot and killed by police in Luxor. Sources report there were skirmishes between demonstrators and police where demonstrators threw molotov cocktails and bricks and the skirmishes lasted into the morning of 31 September 2020.",0,"crowd size=no report",1764637279,136505
EGY10782,2020-03-14,2020,2,Demonstrations,Protests,"Peaceful protest","Protesters (Egypt)",,Protesters,,,,"Protesters only",,818,"Northern Africa",Egypt,Giza,"6th of October 1",,"6th October City",29.9464,30.9169,1,"El Fagr News",National,"On or before 14 March 2020, residents of Ahmed Baghat's Dreamland Compound organized a protest at the compound in 6th October City (Giza, Giza), after electricity had been out for over 72 hours throughout the compound except for Ahmed Baghat's villa.",0,"crowd size=no report",1734465833,11092
EGY10815,2020-04-06,2020,1,Demonstrations,Protests,"Peaceful protest","Protesters (Egypt)","Health Workers (Egypt)",Protesters,,,,"Protesters only",,818,"Northern Africa",Egypt,Giza,"6th of October 1",,"6th October City",29.9464,30.9169,1,"El Fagr News",National,"On 6 April 2020, staff and patients staged a sit-in at Sheikh Zayed Hospital in 6th October City (Giza, Giza), protesting against a directive that would distribute patients and staff to other hospitals.",0,"crowd size=no report",1734465833,11092
EGY11144,2020-09-25,2020,1,Demonstrations,Protests,"Protest with intervention","Protesters (Egypt)",,Protesters,"Police Forces of Egypt (2014-)",,"State forces","State forces-Protesters",,818,"Northern Africa",Egypt,Giza,"6th of October 1",,"6th October City",29.9464,30.9169,1,Rassd,National,"On 25 September 2020, Egyptian police forces intervened as protesters gathered to call for the end of President Sisi's time in office in 6th October City (Giza, Giza). The nature of the intervention was not reported.",0,"crowd size=no report",1753970510,11092
EGY11122,2020-09-21,2020,1,Demonstrations,Protests,"Protest with intervention","Protesters (Egypt)",,Protesters,"Police Forces of Egypt (2014-)",,"State forces","State forces-Protesters",,818,"Northern Africa",Egypt,Fayoum,Tamia,,Tamiyah,29.4764,30.9612,2,"New Arab",Regional,"On 21 September 2020, police intervened in protests in Dar El Salam in Tamya (Fayoum), where protesters called for the end of President Sisi's time in office during the week of the anniversary of widespread protests a year prior.",0,"crowd size=no report",1764637279,56113
EGY11131,2020-09-22,2020,1,Demonstrations,Protests,"Protest with intervention","Protesters (Egypt)",,Protesters,"Police Forces of Egypt (2014-)",,"State forces","State forces-Protesters",,818,"Northern Africa",Egypt,Fayoum,Tamia,,Tamiyah,29.4764,30.9612,2,"New Arab",Regional,"On 22 September 2020, police intervened in protests in Dar El Salaam in Tamya (Fayoum), where protesters called for the end of President Sisi's time in office during the week of the anniversary of widespread protests a year prior.",0,"crowd size=no report",1764637279,56113
