event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp,population_best
EGY2342,2013-04-01,2013,1,Demonstrations,Riots,"Violent demonstration","Rioters (Egypt)",,Rioters,"Police Forces of Egypt (2012-2013)",,"State forces","State forces-Rioters",,818,"Northern Africa",Egypt,Menia,"Abu Korkas",,"Abu Qurqas",27.9312,30.8384,1,"MENA (Africa)",International,"Clashes erupted Monday in Egypt when dozens of people attempted to break into a police station, leaving one person killed and another injured. Dozens of people gathered outside the police station in Minya governorate and hurled stones at security personnel and fired shots in the air.",1,,1618528699,
EGY2524,2013-05-21,2013,1,Demonstrations,Protests,"Peaceful protest","Protesters (Egypt)",,Protesters,,,,"Protesters only",,818,"Northern Africa",Egypt,"North Sinai","Al Arish 2",,"Al Arish",31.1316,33.7984,2,"Premium Official News",International,"Citizens demonstrated in front of the Security Directorate in protest against the abduction of a businessman",0,,1618528722,
EGY2483,2013-05-13,2013,1,"Political violence",Riots,"Mob violence","Rioters (Egypt)","Muslim Group (Egypt)",Rioters,"Civilians (Egypt)","Coptic Christian Group (Egypt)",Civilians,Rioters-Civilians,"Civilian targeting",818,"Northern Africa",Egypt,Menia,Matay,,Matay,28.4190,30.7792,1,"Survival International",Other,"A Muslim mob stormed the village church of Prince Tadros el-Mashreki and assaulted a person inside. They hurled stones and broke everything inside the church, including doors and windows",0,,1618528716,
EGY1713,2012-10-28,2012,1,"Political violence",Riots,"Mob violence","Rioters (Egypt)","Muslim Group (Egypt)",Rioters,"Rioters (Egypt)","Coptic Christian Group (Egypt)",Rioters,Rioters-Rioters,,818,"Northern Africa",Egypt,"Beni Suef","Beni Suef City",,"Bani Suwayf",29.0744,31.0979,2,"Ansamed; Daily News (Egypt); AFP",National-International,"Two Copts were injured as a result of violence brought about by the predominantly conservative Muslim crowd barring the entrance to a church. Cars were also damaged in the scuffle.",0,,1618528622,
EGY2082,2013-02-20,2013,1,Demonstrations,Protests,"Peaceful protest","Protesters (Egypt)",,Protesters,,,,"Protesters only",,818,"Northern Africa",Egypt,"Port Said","Al Manakh",,"Port Said",31.2565,32.2841,1,"Daily News (Egypt); AFP",National-International,"A strike in Port Said entered its fourth day on Wednesday as Egyptian demonstrators demanding justice for protesters killed by police shrugged off a government pledge to inject money into the canal city. The protesters are demanding justice for at least 40 demonstrators killed in clashes with police in late January after a court sentenced 21 Port Said soccer fans to death over a deadly football riot last year.",0,,1618528666,
EGY2088,2013-02-21,2013,1,Demonstrations,Protests,"Peaceful protest","Protesters (Egypt)",,Protesters,,,,"Protesters only",,818,"Northern Africa",Egypt,"Port Said","Al Manakh",,"Port Said",31.2565,32.2841,1,"Aswat Masriya (Egypt); Africa News",National-International,"Civil disobedience in Port Said entered the fifth day on Thursday, with popular movements calling for escalations.An Aswat Masriya reporter said that ports remain shut, leading to financial losses that severely affect the already ailing economy of the Middle Easts most populous country.Eighty percent of schools in Port Said have suspended their classes where attendance is at 50 percent while many markets are closed and streets are empty.",0,,1618528666,
EGY2095,2013-02-23,2013,1,Demonstrations,Protests,"Peaceful protest","Protesters (Egypt)",,Protesters,,,,"Protesters only",,818,"Northern Africa",Egypt,"Port Said","Al Manakh",,"Port Said",31.2565,32.2841,1,"Africa News; Aswat Masriya (Egypt)",National-International,"The workers in Port Saids marine shipyard, the employees of transport companies and the management of the Suez Canal Movement Authority, all declared on Saturday, the seventh day of civil disobedience, that they will join the disobedience, saying they will not be secluded from the demands of the people of Port Said. An Aswat Masriya eyewitness said that civilians closed all the customs ports and prevented the entry and exit of all cars except for the ambulances.",0,,1618528667,
EGY2578,2013-06-06,2013,1,"Political violence",Riots,"Mob violence","Rioters (Egypt)","April 6 Youth Movement",Rioters,"Rioters (Egypt)","Muslim Brotherhood",Rioters,Rioters-Rioters,,818,"Northern Africa",Egypt,Beheira,"Damanhour City",,Damanhur,31.0392,30.4691,1,"Iranian Government News; Daily News (Egypt)",Other-National,"More than 24 people were injured in clashes between members of opposition parties and the Muslim Brotherhood in Damanhur, Beheira governorate. According to Iranian Government News, one person was killed.",1,,1618528730,
EGY2952,2013-07-16,2013,1,"Political violence",Riots,"Mob violence","Rioters (Egypt)","Muslim Brotherhood",Rioters,"Police Forces of Egypt (2013-2014)",,"State forces","State forces-Rioters",,818,"Northern Africa",Egypt,Dakahlia,"Mit Ghamr City",,"Mit Ghamr",30.7146,31.2590,1,"VOA; Daily News (Egypt)",National-International,"Clashes erupted in the northern Delta city of Mit Ghamr between Morsi supporters, police and local residents, leaving more than 20 injured",0,,1618528772,
EGY3222,2013-08-14,2013,1,"Political violence",Riots,"Mob violence","Rioters (Egypt)","Muslim Brotherhood",Rioters,"Civilians (Egypt)","Christian Group (Egypt)",Civilians,Rioters-Civilians,"Civilian targeting",818,"Northern Africa",Egypt,Suez,"Al Arbaeen",,Suez,29.9737,32.5263,1,"Watani; Africa News",National-International,"A mob armed with rocks and petrol bombs attacked St Saviours Church and two schools in Suez",0,,1618528802,
EGY3225,2013-08-14,2013,1,Demonstrations,Riots,"Violent demonstration","Rioters (Egypt)","Muslim Brotherhood",Rioters,"Police Forces of Egypt (2013-2014)",,"State forces","State forces-Rioters",,818,"Northern Africa",Egypt,Giza,"Giza City",,Oula,30.0208,31.2139,1,"AFP; Aswat Masriya (Egypt)",National-International,"87 demonstrators were killed during the security operation to clear out the Muslim Brotherhoods sit-ins at Cairos Nahda Square, Xinhua reported.",44,,1618528802,
EGY3226,2013-08-14,2013,1,"Political violence; Demonstrations",Protests,"Excessive force against protesters","Protesters (Egypt)","Muslim Brotherhood",Protesters,"Police Forces of Egypt (2013-2014)",,"State forces","State forces-Protesters","Civilian targeting",818,"Northern Africa",Egypt,Giza,"Giza City",,Oula,30.0208,31.2139,1,"Aswat Masriya (Egypt); AFP",National-International,"87 demonstrators were killed during the security operation to clear out the Muslim Brotherhoods sit-ins at Cairos Nahda Square. Witnesses described how police fired at unarmed protesters both deliberately and indiscriminately, using teargas, birdshot and live ammunition.",43,,1618528802,
EGY3227,2013-08-14,2013,1,"Political violence",Riots,"Mob violence","Rioters (Egypt)","Muslim Brotherhood",Rioters,"Police Forces of Egypt (2013-2014)",,"State forces","State forces-Rioters",,818,"Northern Africa",Egypt,Assiut,"Assiut 1",,Asyut,27.1810,31.1837,1,"AFP; Daily News (Egypt)",National-International,"Clashes broke out between Mursi supporters and security forces. Two police cars were also set on fire in Assiut, in addition to the judges club and multiple stores",0,,1618528802,
EGY1295,2011-10-08,2011,1,"Political violence; Demonstrations",Protests,"Excessive force against protesters","Protesters (Egypt)","Students (Egypt)",Protesters,"Unidentified Armed Group (Egypt)","Police Forces of Egypt (2011-2012)","Political militia","Political militia-Protesters","Civilian targeting",818,"Northern Africa",Egypt,Alexandria,"Bab Sharqi",,"Alexandria University",31.2105,29.9133,1,"Daily News (Egypt)",National,"About 200 students at Alexandria University engaged in a sit-in were attacked by people in plain clothes, who threw bottles, sticks and rocks, who were also backed by university security.",0,,1567465408,
EGY1576,2012-06-30,2012,1,Demonstrations,Protests,"Peaceful protest","Protesters (Egypt)","Students (Egypt)",Protesters,,,,"Protesters only",,818,"Northern Africa",Egypt,Giza,"Giza City",,Oula,30.0208,31.2139,1,"Al Masry Al Youm (Egypt)",National,"Dozens of students demonstrated outside Cairo University to protest the cancellation of exams and the closing of the university for a visit by President Mohamed Morsy",0,,1618528608,
EGY2046,2013-02-15,2013,1,Demonstrations,Protests,"Protest with intervention","Police Forces of Egypt (2012-2013)",,"State forces","Protesters (Egypt)","Students (Egypt)",Protesters,"State forces-Protesters",,818,"Northern Africa",Egypt,Gharbia,"Tanta 1",,Tanta,30.7885,31.0019,1,"Nile News TV; Egyptian Organization for Human Rights",Other-National,"Demonstrators torch school in Al-Santah city, burn tires along highway, prompting response by security forces;peaceful demonstrations in Tanta with exception of attack on school - Al-Santah, attack on school in which MB members where meeting, continued altercations between demonstrators. Among those arrested were 15 children, according to Egyptian Organization for Human Rights (EOHR)",0,,1618528661,
EGY2371,2013-04-07,2013,1,Demonstrations,Protests,"Peaceful protest","Protesters (Egypt)","Women (Egypt); Students (Egypt)",Protesters,,,,"Protesters only",,818,"Northern Africa",Egypt,Assiut,"Assiut 1",,Asyut,27.1810,31.1837,1,AFP,International,"Approximately 60 students at the Al-Azhar College for Girls in Assiut protested against the administration on Sunday for the way it has handled an investigation, in which a female student is facing an investigation for being a Shia. The protesting students object to the practice of Shiism.",0,,1618528702,
EGY2446,2013-04-29,2013,1,Demonstrations,Protests,"Peaceful protest","Protesters (Egypt)","Students (Egypt)",Protesters,,,,"Protesters only",,818,"Northern Africa",Egypt,Assiut,"Assiut 1",,Asyut,27.1810,31.1837,1,"Daily News (Egypt)",National,"Students at Assiut University held a protest on Monday denouncing a road accident which led to the death of four faculty members.",0,,1618528712,
EGY3246,2013-08-14,2013,1,Demonstrations,Riots,"Violent demonstration","Rioters (Egypt)","Muslim Brotherhood; Students (Egypt)",Rioters,"Police Forces of Egypt (2013-2014)","Military Forces of Egypt (2013-2014)","State forces","State forces-Rioters",,818,"Northern Africa",Egypt,Suez,"Al Arbaeen",,Suez,29.9737,32.5263,1,"Aswat Masriya (Egypt)",National,"Hundreds of supporters of deposed President Mohamed Mursi have set fire to the Good Shepherd Church, the Franciscan School and two armored military vehicles in Suez. Five people, including a woman, were killed when clashes between security forces and supporters of former President Mohamed Mursi broke out",5,,1618528805,
EGY874,2011-02-14,2011,1,Demonstrations,Protests,"Peaceful protest","Protesters (Egypt)","Health Workers (Egypt)",Protesters,,,,"Protesters only",,818,"Northern Africa",Egypt,Giza,"Giza City",,"Al Jizah",30.0081,31.2109,1,AFP,International,"Hundreds of ambulance drivers demanding better pay lined their vehicles up along Cairos Giza district.",0,,1618529468,
EGY876,2011-02-14,2011,1,Demonstrations,Protests,"Peaceful protest","Protesters (Egypt)","Journalists (Egypt)",Protesters,,,,"Protesters only",,818,"Northern Africa",Egypt,Qalyubia,"Banha City",,Banha,30.4591,31.1786,1,AFP,International,"Workers in banking, transport, oil, tourism, textiles, state-owned media and government bodies strike to demand higher wages and better conditions. The protests were in several cities. The striking initially began with a spike in food prices.",0,,1618529470,
